,0
0,808938145313058
1,3366592871800741
2,6442186099368529
3,1175816786620680
4,5869539900884583
5,9061067320839776
6,7566717833598993
7,8455495596164984
8,902717577190445
9,9461891355101210
10,8789150442726795
11,7460307084763089
12,5461170290751462
13,1518865173435209
14,547397388018816
15,1372057904676498
16,3121734074348043
17,6408153795533038
18,2795801064535157
19,7069874790439805
20,2668667993744896
21,2751874611495347
22,3254003289054368
23,1098267171095361
24,7668879147545265
25,7587806185859937
26,7580097144705724
27,2700211533000659
28,1857806253382088
29,9741148259855149
30,8108956052429115
31,7243484039473813
32,7357310840170264
33,9118184429959574
34,537635467814045
35,6843833171870634
36,7135904392775680
37,9709452121137047
38,1067994425463514
39,2279673418741036
40,7159757610060958
41,8368440551092289
42,7019539915782086
43,8116912195059700
44,7275045510107550
45,1537249856486330
46,5122353449262208
47,123774037351137
48,7854360518786851
49,1726625417594256
50,555030394187310
51,3332983150165256
52,4753000425209135
53,3637501545283594
54,8689984162245103
55,7491481062362539
56,7243474434573621
57,6032592283545596
58,4543504070083751
59,9044733114581611
60,814023926904547
61,9405177604801211
62,7068806153104519
63,9222199357628548
64,6397916732901063
65,4276649779321375
66,1759308179685346
67,2836908388686988
68,3545822832259031
69,2111905495788862
70,8715264267516266
71,964053090112695
72,2107707592550055
73,5651914385447486
74,144367956615652
75,5256797108238221
76,9121663215351609
77,1049577108661083
78,1314667849908125
79,1260415192839593
80,800605208904246
81,7491046022456897
82,6336256814511148
83,7575768361442461
84,9347276814001491
85,3966830916592102
86,6098014126903319
87,6965026304626005
88,3638759062433933
89,2410139365329734
90,1808469870030714
91,2305615345496836
92,9635303910522499
93,326109159638272
94,1928357849675000
95,6248088807156359
96,1189108129010535
97,9827386217465989
98,6652091271838644
99,7618767393745018
100,3469377550928789
101,8213693806079936
102,3563895399993867
103,5917989984472668
104,5021091527395609
105,1089906772427394
106,7675036538667955
107,3673622657898932
108,3207175335018937
109,739734390426687
110,9847907913934711
111,4167884335743250
112,8918814404711884
113,2521787247588080
114,465615132517222
115,4783375040156029
116,3966795612741363
117,2597922054525412
118,5657511590518624
119,1379751685971485
120,800316863717316
121,7254679644374259
122,1288178739969745
123,7439097890470621
124,2993716406464616
125,1959557670325055
126,3724041010317539
127,4227255911045494
128,4039676977357623
129,9628553882821704
130,6772013519100972
131,3734958898847058
132,721548823907893
133,131530209706162
134,3588364545603992
135,9312332483222873
136,797174685549907
137,4816866372904602
138,7174877398310072
139,8605600231852697
140,6403556237033182
141,2196414241004695
142,2049910703027682
143,2653697909924911
144,7335629107698204
145,4340059673538795
146,9847721962585782
147,4848869483816504
148,891714428111234
149,6867363654313193
150,3903416778636638
151,111904642353669
152,6249842109354856
153,9922122769509160
154,4091051696404214
155,9171320863927413
156,8045955928210224
157,983387065576539
158,6854656580277001
159,5202659839610099
160,2470194775916228
161,2021449507113948
162,1439228691748352
163,6622378683153480
164,5376648744645795
165,7860992030035745
166,5919074852981743
167,5437721454089032
168,2461112578804537
169,2874381218754130
170,6518215277080266
171,5546622206171944
172,6851364327879113
173,3359953693969458
174,1876298021950448
175,3136664285679846
176,9270505088399430
177,3015162536500942
178,3950386824945565
179,4159733067004447
180,2945867370955099
181,3622016048269818
182,7574246674522809
183,9064370865999766
184,2097908108919241
185,3560165817659228
186,1067090731407577
187,3713154052017801
188,1354161458585749
189,9709835365816020
190,1510181944435970
191,1765467104699245
192,9878321982029909
193,7892621687046116
194,5072041000727223
195,4968518760623931
196,4469380527534262
197,2919685314104939
198,6094597594197861
199,142018491634609
200,3193468110954574
201,6501632916661899
202,1071739977411988
203,5208119612907937
204,362388848011066
205,5494459022670775
206,1081290561354915
207,5561208258004677
208,8829898424320537
209,3777139220278190
210,7262212453875488
211,8702525312199886
212,6914656210670296
213,6084439000515087
214,8315534963507689
215,6938133528717962
216,7088504548320363
217,3280853106796880
218,1836441743582394
219,3782130678448489
220,8543703316798123
221,1257127922018159
222,1092726146902326
223,908133271487461
224,9055901670765264
225,3839358548924827
226,6314500191056531
227,6623572280410840
228,806478455336269
229,2649402161021691
230,9280704506479038
231,4817632811350748
232,1045865699136757
233,474496442226060
234,8277352608857705
235,5157048998523158
236,111321896795593
237,58157578227227
238,7840544328250109
239,8621868468317480
240,7479130762828422
241,3543547978995798
242,4876173787954811
243,3844823051682851
244,8064740404673731
245,7809123727291383
246,118513306889913
247,7544815481177473
248,9594110236776932
249,3823193527531936
250,6898676485826726
251,1558895083624729
252,6987475976326232
253,7260833760482439
254,3225748100061818
255,3334123479285121
256,9385509211797941
257,6597455472200442
258,6404191704088433
259,9985024279829181
260,8688393739407225
261,6455422207438666
262,9019096047968848
263,6158793473577176
264,6870781079733961
265,7777773673725405
266,379703325940422
267,5421379721009840
268,7100345720446348
269,7719709901343185
270,9555873887741827
271,4552882922342231
272,6310330875239899
273,4627451601420671
274,8745029468432163
275,2150972086881898
276,79550053963086
277,3604948285344079
278,9647533579414452
279,5947253137938815
280,3707036007481488
281,2506136880977644
282,2946297786253813
283,2962758071944086
284,9085326429110439
285,245929146291275
286,7475731252043932
287,2989485146353807
288,5156880194736533
289,429854069223563
290,3838814327798856
291,3617437947515208
292,4479422579275438
293,8957226166635558
294,9792043248363077
295,281692414375558
296,6611638656301749
297,886514454462298
298,4498595305431615
299,4460143905298458
300,1338555497465445
301,3796193323524023
302,4845419392362758
303,9733440124749982
304,4722635758546284
305,6296399491487979
