Paulo Roberto Cecon;621
Gláucia Maria Bovi Ambrosano;590
Maria do Rosario Dias de Oliveira Latorre;353
Jose Carlos Barbosa;326
José Roberto Pereira Lauris;296
Maria Emilia Camargo;280
Euclides Braga Malheiros;271
Ronir Raggio Luiz;266
Carlos Tadeu dos Santos Dias;260
Gauss Moutinho Cordeiro;229
Jorge Alberto Achcar;228
Fabyano Fonseca e Silva;226
Miguel Caldas Cueva;214
Edson Zangiacomi Martinez;206
Luis Felipe Dias Lopes;198
Adair José Regazzi;191
Luiz Carlos Wrobel;181
Carlos Alberto de Braganca Pereira;175
Guilherme Jordão de Magalhães Rosa;168
Joao Ricardo Sato;165
Pushpa Narayan Rathie;156
Lídia Raquel de Carvalho;154
Pavel Shumyatsky;151
Sergio do Nascimento Kronka;150
Jaime Edilberto Munoz Rivera;146
Ivan Balducci;145
Jose Mario Martinez Perez;142
Francisco Régis Vieira Alves;142
Heleno Bolfarine;141
Andrei Aleksandrovich Bytsenko;140
Angelo Jose Goncalves Bos;140
João Manuel Ribeiro da Silva Tavares;139
Clarice Garcia Borges Demétrio;137
Claudia Benedita dos Santos;137
Peter Louis Antonelli;135
Claudianor Oliveira Alves;135
Waldir Alves Rodrigues Junior;133
João Batista Bottentuit Junior;131
Glauber Henrique de Sousa Nunes;131
Victor Hugo Costa de Albuquerque;129
Rodrigo Ramos Catharino;129
Milton Rosa;127
Sidinei Jose Lopes;125
Vyacheslav Futorny;125
Daciberg Lima Gonçalves;125
Ivan Barbosa Machado Sampaio;123
Enrico Antonio Colosimo;123
Sidney Rosa Vieira;123
Geraldo da Silva e Souza;122
Ines Cristina de Batista Fonseca;122
Jose Antonio Cordeiro;120
Haroldo Fraga de Campos Velho;117
Mauricio Guilherme de Carvalho Resende;116
Edmundo Capelas de Oliveira;116
Ivan Chestakov;116
Harold William Rosenberg;114
Vando Edesio Soares;114
Sani de Carvalho Rutz da Silva;113
Benar Fux Svaiter;113
João Baptista da Silva;113
Nelson Maculan Filho;112
Celso Correia de Souza;112
Denismar Alves Nogueira;112
Martha Maria Mischan;110
Eric Batista Ferreira;110
Jayme Luiz Szwarcfiter;109
Marinez Meneghello Passos;109
Ricardo Shitsuka;107
Raul Antonino Feijóo;105
Les Foulds;104
Cibele Comini César;104
Celso da Cruz Carneiro Ribeiro;104
Sérgio Aparecido Ignácio;104
Francisco Cesar Polcino Milies;103
Antonio Sergio Ferraudo;103
Gustavo Alberto Perla Menzala;103
Basilio de Braganca Pereira;102
Yuan Jinyun;101
Julio da Motta Singer;101
Carlos José Pereira de Lucena;101
Vladimir Pestov;100
Maria Helena de Sousa;98
André Carlos Ponce de Leon Ferreira de Carvalho;98
Rodrigo Leonardi;97
Claudio Landim;97
Hyun Mo Yang;96
Miguel Angel Uribe Opazo;95
Thelma Sáfadi;94
Fernando Antonio Basile Colugnati;94
Francisco Alberto Pino;94
Maria Imaculada de Lima Montebello;93
Carlos Tadeu Pippi Salle;93
Paolo Piccione;93
João Pedro Assumpção Bastos;92
Dan Marchesin;92
Marise Fagundes Silveira;91
Pedro Luiz de Oliveira Costa Neto;91
Reinaldo Castro Souza;89
Ole Skovsmose;89
Suzi Alves Camey;89
Aram Arutyunov;89
César Gonçalves de Lima;89
Pedro Hernan Cabello Acero;89
Márcia Jussara Hepp Rehfeldt;88
Annibal Parracho Sant'Anna;88
Carlos Maurício Cardeal Mendes;88
André Toom;88
Marcelo Tavares;87
Maria Cristina Neves de Oliveira;87
Sérgio Ricardo Silva Magalhães;87
Luiza de Macedo Mourelle;87
Ronei Marcos de Moraes;87
Marcelo Silva de Oliveira;87
Odemir Martinez Bruno;86
Renato Ribeiro de Lima;86
